WGM2#,English term,Chinese term,Pinyin term,Synonyms,English definition/description,Chinese synonyms
1585.0,Congestive heart failure,心水病,xīn shuǐ bìng,null,"A severe heart condition characterized by palpitations, rapid breathing upon physical exertion, an inability to lie flat, coughing with foamy sputum, oedema, scanty urine or urine retention. It is often caused by heart qi deficiency, water retention due to heart yang deficiency or heart blood stasis.",心水；心衰
1586.0,Fright palpitations,惊悸病,jīng jì bìng,Fright palpitation disorder,"Characterized by fright-induced palpitations, panic, jumpiness or easily startled, insomnia or dream-disturbed sleep. Often results from heart qi deficiency, fright, or phlegm heat disturbing the heart mind.",null
1587.0,Fearful throbbing,怔忡病,zhēng chōng bìng,Fearful throbbing disorder,"Characterized by irregular, paroxysmal and involuntary palpitations. Associated symptoms include chest tightness, shortness of breath, visible pulsations on the chest at the apex, umbilical venous pulsations, and a regularly/ irregularly intermittent or abrupt and rapid pulse. Often results from heart yin/blood failing to nourish the heart, pathogenic factors obstructing the heart vessels or water retention (due to yang deficiency) affecting the heart.",null
1588.0,Lily bulb disease,百合病,bǎi hé bìng,Lily disorder,"Characterized by mental strain, listlessness, insomnia, and a poor appetite. Often results from disordered qi and blood, deficiency of yin fluids, malnourishment of meridians and disturbance of the heart mind after acute febrile diseases, poisoning or brain trauma.",null
1589.0,Insomnia,不寐,bú mèi,Insomnia disorder Sleeplessness,"Characterized by an inability to obtain normal sleep and drowsiness and low energy during the day. Associated symptoms may include dizziness, tinnitus and poor memory. Often results from emotional disturbances, mental exhaustion and, subsequently, the disharmony between the Ying- nutrients and Wei-defence.",不寐病
1590.0,Nightmare,梦魇,mèng yǎn,null,"An unpleasant dream that may contain screaming, a feeling of oppressed by heavy objects or a sense of suffocation. Individuals often wake up in a state of distress but able to return to sleep. Often occurs when fear or fright damages heart qi or when pathogenic factors disturb the heart mind.",null
1591.0,Hypersomnia,多寐病,duō mèi bìng,"Somnolence disorder
Hypersomnolence",Paroxysmal and uncontrollable excessive daytime sleepiness. Often occurs when turbid phlegm obstructs the ascending of clear yang.,嗜睡症
1592.0,Manic depression/ bipolar disorder,失志,shī zhì,null,"A condition characterized by alternating depression and elevated mood. During manic phases, individuals are often excitable and may speak in a rapid, uninterruptible manner. During depressive phases, individuals often present with a low mood or self-loathing. Forgetfulness, timidity, fear and jumpiness or easily startled may also be present. Often occurs when stagnant qi, phlegm and stasis disturbs the heart mind.
Contributing factors may include emotional disturbance, feeling of guilty, improper diet or hereditary factors.",null
1593.0,Dementia,痴呆病,chī dāi bìng,"Dementia disorder
Aged dementia disorders","A progressive condition characterized by loss of memory, slow reactions and a decline or eventually loss of cognitive and intellectual functions. Contributing factors include ageing- related deficiency of essence blood, congenital
deficiency, or phlegm stasis obstructing the mind.",null
1594.0,Epilepsy,痫病,xián bìng,null,"A condition characterized by a long-term risk of recurrent seizures. Clinical signs and symptoms include sudden unconsciousness, drooling, convulsions of the limbs, upward staring of  the eyes often preceded by vocalizations.
Contributing factors may include heredity, fear/ fright, emotional disturbance, or improper diet.   It may occur secondary to brain diseases, high fever, poisoning or head trauma. These factors can cause wind phlegm or stagnant blood to cloud the heart mind.",null
1595.0,Depressive psychosis,癫病,diān bìng,null,"A major depressive episode characterized by mental confusion, low mood, dull or indifferent expression, incoherent speech and aversion to activity. Contributing factors may include heredity, personality defects or emotional disturbance.
These factors may cause qi to stagnate and cloud the mind. It may also be secondary to brain diseases or poisoning.",null
1596.0,Manic psychosis,狂病,kuáng bìng,Manic disorder,"A major manic episode characterized by elevated mood, mental/physical hyperactivity, disorganized behaviour, restlessness, and irritability.
Contributing factors may include mental stress- induced imbalance between yin and yang, phlegm fire ascending to disturb the mind or stagnant blood obstructing the heart mind.",null
1597.0,Sexual obsessions,花癫,huā diān,null,A condition characterized by uncontrolled obsessions or abnormal behaviours about non- specific members of the opposite sex. It is often caused by liver qi stagnation transforming into fire or hyperactivity of ministerial fire.,花痴
1598.0,Paranoia disorders,邪祟病,xié suì bìng,null,"A group of paranoid or delusional symptoms that include seeing things or hearing voices that others do not, smelling something that does  not exist, disorganized thinking and speech or hallucinations of sudden death. It is often caused by deficiency of anti-pathogenic qi coupled with pathogenic factors disturbing the mind or phlegm stasis misting the heart mind.",null
1599.0,Liver system diseases,肝系病,gān xì bìng,Liver system disorders,"Dysfunctions of the liver system and meridians due to six exogenous pathogenic factors, emotional disturbance, overexertion, water retention and stagnant blood.",null
1600.0,Wind dizziness,风眩,fēng xuàn,null,"Characterized by vertigo, headache, elevated blood pressure and a wiry pulse. Often results from yang hyperactivity due to liver/kidney yin deficiency, which further causes wind yang to ascend to disturb the heart mind.",null
1601.0,Tetany,痉病,jìng bìng,Tetanus,"Characterized by neck rigidity, and involuntary convulsions of the limbs. In severe cases, lockjaw or opisthotonos may also be present. Contributing factors may include six exogenous pathogenic factors or epidemic heat stirring liver wind or deficiency wind due to excessive sweating, loss  of blood or chronic diarrhoea. These factors
may cause malnourishment of the tendons and muscles and result in involuntary contractions.",痉证
1602.0,Convulsive disorders upon exposure to exogenous pathogens,外感痉病,wài gǎn jìng bìng,"Convulsive disorder
Convulsion disorder","Characterized by fever, aversion to heat (alternatively, aversion to cold may be present), neck rigidity, shaking of the head, lockjaw, and convulsions of the hands/feet. In severe cases, opisthotonos may be present. A hard convulsion has no sweating, whereas a soft convulsion has sweating. Often occurs when pathogenic wind cold, dampness, summer heat, damp heat or warmth affect the meridians or tendons. It may also occur when pathogenic heat enters the interior to stir liver wind, coupled with internal heat consuming yin fluids.",null
1603.0,Convulsions due to deficiency,虚痉,xū jìng,null,"Characterized by tremor of the hands/feet, and muscle spasm/pain. In severe cases, shaking  of the head, convulsions, lassitude, fatigue, spontaneous sweating and dizziness may be present. Often occurs when chronic diseases consume yin fluids and result in internal stirring of deficiency wind or failure of qi and blood to nourish muscles or tendons.",null
1604.0,Jaundice,黄疸病,huáng dǎn bìng,Jaundice disorder,"Characterized by yellow discolouration of the skin, sclera and urine. Contributing factors may include external contraction of epidemic damp heat, alcohol-related internal build up of damp heat, cold dampness affecting the spleen, or stones/ lumps/stasis forcing the bile to flow superficially.",null
1605.0,Yang jaundice,阳黄病,yáng huáng bìng,Jaundice disorder,"An acute condition characterized by bright yellow discolouration of the skin and sclera, dark, tea- like urine, and a decreased appetite. Associated symptoms may include fever, thirst, nausea, vomiting, distending pain in the subcostal region and white/light-coloured stools. Contributing factors may include external contraction of epidemic damp heat from improper diet, alcohol drinking, or stones/lumps forcing the bile to flow superficially.",null
1606.0,Yin jaundice,阴黄病,yīn huáng bìng,Jaundice disorder,"A chronic condition characterized by dim yellow discolouration of the skin and sclera, dull pain in the subcostal region, lassitude, a poor appetite, abdominal distension or loose stools. Contributing factors may include persistent yang jaundice damaging anti-pathogenic qi, dampness retention or cold dampness affecting the spleen.",null
1607.0,Haemolytic jaundice,血疸,xuè dǎn,null,"A type of jaundice caused by medications, snake venom or malaria. It is characterized by jaundice, pale face and dizziness.",null
1608.0,Favism,蚕豆黄,cán dòu huáng,null,"A type of haemolytic jaundice caused by ingestion of fresh fava beans. It is characterized by jaundice, pale face, body ache, abdominal pain, and urine in a colour resembling thick black tea or soy sauce. Associated symptoms include fever, nausea, vomiting, hypersomnia, palpitations, and scanty urine or urine retention.",null
